artist,popularity,length,years
5 Seconds of Summer,840.0,203.0,2018.0
AC/DC,753.0,5.572770137586838e+16,1980.0
Avicii,725.0,84811813787.0,2012.0
Band Aid,840.0,223.0,2004.0
Billie Eilish,950.0,194.0,2019.0
Bon Jovi,724.0,2.803115291367429e+22,1991.0
Calvin Harris,860.0,215.0,2018.0
Camila Cabello,850.0,217.0,2018.0
Coldplay,699.0,1.0677641122640638e+79,2008.0
Ed Sheeran,788.0,2.1543848775106854e+34,2015.0
Foster The People,840.0,240.0,2011.0
Imagine Dragons,779.0,2.0797243359800463e+25,2015.0
John Legend,775.0,140635.0,2009.0
Justin Bieber,830.0,234.0,2015.0
Lady Gaga,792.0,59323804052.0,2013.0
Lewis Capaldi,850.0,182.0,2018.0
Linkin Park,760.0,49304296564.0,2006.0
Macklemore & Ryan Lewis,830.0,258.0,2012.0
Mariah Carey,950.0,241.0,1994.0
Maroon 5,860.0,128594.0,2010.0
Panic! At The Disco,870.0,191.0,2018.0
Sam Smith,840.0,173.0,2014.0
TOTO,654.0,3.375661874718133e+19,1985.0
Tame Impala,805.0,234108.0,2015.0
The Chainsmokers,840.0,247.0,2017.0
The Pogues,830.0,272.0,1988.0
The Police,689.0,2.403628628765541e+22,1982.0
Tones and I,1000.0,209.0,2019.0
Twenty One Pilots,820.0,101098.0,2016.0
Wham!,767.0,88422077.0,1995.0
a-ha,600.0,112612.0,1985.0
