day;PositiveReviews;NegativeReviews;Total
01.04.2015;18552;4993;23545
01.05.2015;6719;2291;9010
01.06.2015;5209;1764;6973
01.07.2015;3367;866;4233
01.08.2015;2680;601;3281
01.09.2015;2294;448;2742
01.10.2015;3040;654;3694
01.11.2015;4278;946;5224
01.12.2015;6395;1415;7810
01.01.2016;5388;992;6380
01.02.2016;4413;673;5086
01.03.2016;3730;668;4398
01.04.2016;2719;532;3251
01.05.2016;2309;676;2985
01.06.2016;4021;1303;5324
01.07.2016;4165;1572;5737
01.08.2016;3074;1265;4339
01.09.2016;2309;891;3200
01.10.2016;3174;1268;4442
01.11.2016;22998;2662;25660
01.12.2016;6695;2730;9425
01.01.2017;5773;2754;8527
01.02.2017;5583;3037;8620
01.03.2017;4541;1516;6057
01.04.2017;3786;1034;4820
01.05.2017;3843;1116;4959
01.06.2017;11225;39491;50716
01.07.2017;6048;3295;9343
01.08.2017;4794;2045;6839
01.09.2017;3818;1696;5514
01.10.2017;4283;1457;5740
01.11.2017;18870;2014;20884
01.12.2017;8271;2506;10777
01.01.2018;7355;2289;9644
01.02.2018;4192;1260;5452
01.03.2018;4194;4698;8892
01.04.2018;2802;1411;4213
01.05.2018;3127;1402;4529
01.06.2018;4311;1851;6162
01.07.2018;6695;3182;9877
01.08.2018;4334;1706;6040
01.09.2018;3105;1179;4284
01.10.2018;2945;1096;4041
01.11.2018;17865;1407;19272
01.12.2018;5497;1470;6967
01.01.2019;4506;1260;5766
01.02.2019;4775;1330;6105
01.03.2019;4458;1390;5848
01.04.2019;2777;910;3687
01.05.2019;3781;1131;4912
01.06.2019;17500;1429;18929
01.07.2019;23624;2927;26551
01.08.2019;4947;2437;7384
01.09.2019;3054;2376;5430
01.10.2019;8085;2429;10514
01.11.2019;57170;5424;62594
01.12.2019;50150;4726;54876
01.01.2020;42748;4257;47005
01.02.2020;39756;5507;45263
01.03.2020;33811;3670;37481
01.04.2020;30563;3795;34358
