Hour,Energy
0,84808.97035468502
1,79786.97988353626
2,76588.57452431289
3,74783.85828025478
4,74039.52408681842
5,74836.617787189
6,78196.16993118051
7,83965.34515616728
8,88536.31339332981
9,91208.26892535733
10,93264.57384859714
11,95030.38062466914
12,96207.89147697194
13,96998.82742191636
14,97687.24682203389
15,97991.42456326098
16,98363.6289041821
17,99488.07093700371
18,101272.08205399683
19,101510.38062466914
20,100650.87612493383
21,99561.58496559026
22,96666.8671254632
23,91037.23080995235
